1, 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1, 2 32 42 9 33 20 21 23 39 25 34 12 26 37 38 6 31 16 4
2, 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2, 6 21 4 23 37 33 39 32 9 25 12 16 34 38 42 20 2 31 26
3, 3 3 3 3 3 3 3 3 3 3 3 3 0 3 3 3 3 3 3, 12 34 25 23 32 2 31 38 20 37 9 39 16 33 4 42 26 21 6
4, 4 4 4 4 4 4 4 4 4 4 4 4 4 1 4 4 4 4 4, 23 42 38 2 37 26 32 6 33 20 25 39 9 16 31 12 4 21 34
5, 5 5 5 5 5 5 5 5 5 5 5 5 5 5 2 5 5 5 5, 37 2 12 25 39 4 23 21 20 42 26 32 34 9 16 33 6 38 31
6, 3 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6, 16 34 33 38 2 31 20 26 25 6 39 23 37 9 12 21 32 4 42
7, 7 7 7 7 7 0 7 7 7 7 7 7 7 7 7 7 7 7 4, 4 32 42 38 25 31 20 34 26 12 21 9 23 37 33 39 2 6 16
8, 8 0 8 0 8 8 0 8 8 8 8 8 8 8 8 8 0 8 8, 20 31 23 39 6 32 16 34 9 33 38 37 26 42 21 12 25 4 2
9, 9 9 0 9 9 9 0 0 9 9 9 9 9 9 9 1 9 9 9, 4 23 39 42 26 9 16 31 33 20 32 38 6 34 2 25 37 21 12
10, 10 10 10 10 10 10 10 10 10 10 10 10 0 2 0 10 0 10 10, 6 23 34 9 20 38 37 12 4 42 21 26 16 25 31 32 39 2 33
11, 11 0 11 11 11 0 11 11 11 11 11 0 11 11 11 3 11 11 11, 42 39 26 37 4 16 9 38 2 6 12 31 23 20 33 25 32 34 21
12, 12 12 0 12 12 12 12 4 12 12 12 12 0 12 12 12 1 12 12, 37 38 16 26 34 9 4 25 12 23 20 6 39 32 33 21 31 42 2
13, 13 13 13 0 2 13 13 13 13 13 13 13 5 13 13 13 13 0 13, 26 9 34 16 31 37 23 32 33 2 21 38 25 6 42 4 20 39 12
14, 14 14 14 0 14 14 0 3 0 14 14 14 14 14 14 14 14 14 6, 33 42 21 16 23 26 2 31 39 20 4 34 32 9 37 12 38 6 25
15, 15 15 15 15 15 15 0 15 15 0 7 15 15 0 15 0 4 15 15, 32 34 4 23 9 37 39 6 38 20 25 33 26 2 21 16 31 12 42
16, 16 8 16 16 0 16 16 16 16 16 0 16 0 5 0 16 16 16 16, 21 25 34 38 16 4 23 37 26 9 39 33 20 31 2 12 42 32 6
17, 17 9 17 17 0 17 0 17 17 0 17 17 17 17 17 6 17 17 0, 33 25 26 23 20 32 16 6 34 39 37 4 9 38 12 31 42 21 2
18, 18 18 18 18 0 18 18 18 0 18 18 18 18 18 10 7 18 0 1, 23 32 6 37 16 12 21 9 39 4 34 33 26 38 25 31 42 20 2
19, 0 19 19 19 0 2 19 19 0 0 19 0 19 8 19 19 19 19 11, 20 32 9 37 6 2 33 34 39 26 42 16 4 31 38 12 23 21 25
20, 3 20 0 20 20 0 9 0 20 20 20 1 20 20 12 20 20 20 0, 2 32 39 12 42 6 31 20 33 23 21 26 37 34 25 38 4 9 16
21, 13 21 21 21 21 0 2 21 21 10 0 21 1 21 21 0 4 21 21, 25 34 9 37 4 16 26 42 38 31 39 32 20 21 33 6 2 12 23
22, 22 22 14 5 1 3 22 11 22 22 0 22 22 22 2 22 22 0 22, 4 23 25 2 16 26 33 31 21 12 39 42 32 38 20 37 9 6 34
23, 23 23 0 15 23 3 6 23 12 2 23 0 1 23 23 4 23 23 23, 42 12 6 25 9 20 2 38 31 16 34 4 39 37 33 26 21 32 23
24, 0 24 3 7 0 24 24 4 24 24 24 5 24 13 24 2 24 16 24, 4 42 16 2 6 33 12 20 38 37 21 26 34 31 9 39 23 25 32
25, 25 0 0 5 25 3 25 6 14 25 25 25 25 25 25 17 4 8 25, 12 4 6 20 9 39 32 26 31 34 21 23 42 37 38 25 16 2 33
26, 9 26 26 4 26 5 26 6 7 18 26 0 26 26 26 15 0 26 26, 2 37 21 39 23 16 33 20 26 25 42 4 32 9 12 31 6 34 38
27, 10 27 27 27 1 27 5 16 27 6 27 27 7 1 27 8 27 27 19, 2 38 21 34 6 37 39 31 23 16 42 12 20 4 9 26 33 32 25
28, 28 28 28 17 2 9 28 28 28 7 28 28 28 11 8 20 28 2 6, 23 33 21 31 6 26 12 9 38 16 34 42 37 2 20 25 32 4 39
29, 18 29 29 21 3 29 29 8 3 29 29 12 10 29 7 29 29 9 29, 31 33 12 25 6 32 34 16 4 21 9 2 26 23 39 38 42 20 37
30, 30 4 30 10 30 30 30 13 11 30 30 30 30 4 8 22 30 19 9, 21 6 12 20 34 23 37 2 26 9 33 42 32 4 39 25 38 31 16
31, 31 31 31 31 31 31 20 31 31 10 9 23 31 12 5 14 11 5 31, 33 34 12 32 37 9 31 23 38 16 39 25 42 26 4 2 20 6 21
32, 10 32 15 32 13 6 32 32 11 32 6 32 12 0 32 32 32 24 21, 39 34 2 21 26 6 23 33 16 12 4 32 20 42 38 37 9 25 31
33, 7 33 33 0 25 33 11 33 14 12 33 33 22 33 33 13 16 7 33, 6 38 12 42 25 33 39 34 26 16 23 37 31 32 21 20 2 4 9
34, 34 8 17 34 8 0 26 23 34 34 34 15 13 34 34 12 34 14 34, 21 6 2 12 4 42 25 31 34 33 37 26 16 23 9 39 32 20 38
35, 35 16 14 35 35 9 13 35 35 27 0 35 35 35 9 15 0 24 18, 37 26 16 32 9 6 39 38 33 25 42 21 34 23 4 20 12 31 2
36, 25 17 36 36 36 16 36 10 10 36 0 15 28 36 0 36 14 36 19, 31 26 9 23 34 20 38 6 4 37 12 16 25 32 42 21 39 33 2
37, 37 11 37 0 15 0 29 37 17 37 0 26 37 37 20 18 16 11 37, 37 6 34 42 39 12 25 32 20 38 23 31 9 21 2 26 16 4 33
38, 38 38 19 38 38 12 0 18 21 38 12 0 38 0 38 17 16 30 27, 32 9 26 21 38 6 12 20 2 33 4 23 34 42 37 16 39 25 31
39, 0 39 22 28 39 19 0 13 39 39 39 0 17 20 31 18 13 39 39, 42 34 2 31 38 20 23 6 32 9 33 12 39 26 25 16 4 21 37
40, 1 40 23 19 40 18 40 40 20 29 0 21 32 40 14 40 40 14 0, 42 37 2 16 21 39 33 32 20 31 12 26 25 34 6 38 9 4 23
41, 41 15 41 41 24 15 41 41 21 41 0 0 20 41 30 19 33 22 2, 33 4 32 9 2 6 38 21 20 34 23 12 16 37 31 39 25 26 42
42, 42 22 0 42 34 42 23 21 42 25 31 16 20 0 3 42 42 42 16, 38 20 23 37 25 9 26 16 21 2 31 6 39 12 42 33 34 32 4
43, 35 43 17 43 0 1 22 26 21 43 4 43 32 17 43 43 43 24 23, 25 38 6 37 23 12 16 2 39 34 42 32 31 4 9 21 33 26 20
44, 2 1 27 25 5 18 44 44 36 22 33 24 44 44 44 44 44 23 18, 12 23 2 26 42 4 33 37 25 39 31 20 32 38 21 34 9 16 6
45, 45 19 6 26 3 2 45 45 23 28 45 37 45 45 25 24 34 19 45, 34 4 42 26 12 23 9 33 39 2 32 25 38 21 20 16 31 6 37
46, 25 3 46 46 46 20 46 4 20 27 29 46 26 35 7 24 46 38 46, 16 23 9 38 37 4 32 12 6 26 2 34 20 31 42 39 33 25 21
47, 21 30 4 47 47 8 5 47 25 21 27 36 39 28 26 47 47 47 47, 6 2 23 37 32 42 12 9 39 4 20 31 25 26 16 34 38 21 33
48, 28 5 48 48 40 22 31 48 27 6 48 9 37 48 48 26 48 22 29, 20 23 37 32 25 6 2 21 16 12 38 42 31 34 33 39 9 4 26
49, 23 7 0 49 30 27 49 32 41 28 49 38 23 6 49 49 49 0 49, 4 12 20 9 26 39 32 2 25 16 38 31 6 23 34 21 33 42 37
50, 8 50 50 7 50 33 0 29 50 31 50 39 42 24 24 50 50 0 28, 12 37 34 23 21 2 20 16 9 26 38 31 25 6 4 33 32 42 39
